,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,age,gender,post_engagement,page_engagement,video_view,campaign_id,post,post_reaction,link_click,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,onsite_conversion.post_save,like,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
466,66d7e30cb3fdb1cfea445ea1,,31.824743,129,0,,246.703435,0,2024-04-12,2024-06-15,25-34,unknown,,,,120208544107320764,,,,,,,,,,,,,,,,,
467,66d7e30cb3fdb1cfea445ea2,"[{'action_type': 'post_engagement', 'value': '31'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '31'}, {'action_type': 'lead', 'value': '3'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '3'}, {'action_type': 'post_reaction', 'value': '5'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '24'}]",5787.225577,6734,43,134.586641,859.403858,0.638551,2024-04-12,2024-06-15,35-44,female,31.0,31.0,,120208544107320764,1.0,5.0,24.0,,1929.0751923333335,3.0,3.0,1.0,1.0,,,,,,,,
468,66d7e30cb3fdb1cfea445ea3,"[{'action_type': 'post_engagement', 'value': '138'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'comment', 'value': '3'}, {'action_type': 'page_engagement', 'value': '138'}, {'action_type': 'lead', 'value': '27'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '27'}, {'action_type': 'post_reaction', 'value': '35'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '12'}, {'action_type': 'link_click', 'value': '93'}]",23770.18446,19443,169,140.651979,1222.557448,0.869207,2024-04-12,2024-06-15,35-44,male,138.0,138.0,,120208544107320764,2.0,35.0,93.0,,880.3772022222222,27.0,27.0,12.0,3.0,5.0,,,,,,,
469,66d7e30cb3fdb1cfea445ea4,,67.017871,117,0,,572.802319,0,2024-04-12,2024-06-15,35-44,unknown,,,,120208544107320764,,,,,,,,,,,,,,,,,
470,66d7e30cb3fdb1cfea445ea5,"[{'action_type': 'post_engagement', 'value': '7'}, {'action_type': 'page_engagement', 'value': '7'}, {'action_type': 'lead', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '1'}, {'action_type': 'post_reaction', 'value': '3'}, {'action_type': 'link_click', 'value': '4'}]",3685.183306,2320,13,283.475639,1588.44108,0.560345,2024-04-12,2024-06-15,45-54,female,7.0,7.0,,120208544107320764,,3.0,4.0,,3685.183306,1.0,1.0,,,,,,,,,,
471,66d7e30cb3fdb1cfea445ea6,"[{'action_type': 'post_engagement', 'value': '28'}, {'action_type': 'page_engagement', 'value': '28'}, {'action_type': 'lead', 'value': '6'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '6'}, {'action_type': 'post_reaction', 'value': '9'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '3'}, {'action_type': 'link_click', 'value': '17'}]",7283.528242,5387,53,137.425061,1352.056477,0.98385,2024-04-12,2024-06-15,45-54,male,28.0,28.0,,120208544107320764,2.0,9.0,17.0,,1213.9213736666668,6.0,6.0,3.0,,,,,,,,,
472,66d7e30cb3fdb1cfea445ea7,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'link_click', 'value': '2'}]",21.169851,74,2,10.584926,286.079069,2.702703,2024-04-12,2024-06-15,45-54,unknown,2.0,2.0,,120208544107320764,,,2.0,,,,,,,,,,,,,,
473,66d7e30cb3fdb1cfea445ea8,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'link_click', 'value': '2'}]",948.515277,789,2,474.257639,1202.173989,0.253485,2024-04-12,2024-06-15,55-64,female,2.0,2.0,,120208544107320764,,,2.0,,,,,,,,,,,,,,
474,66d7e30cb3fdb1cfea445ea9,"[{'action_type': 'post_engagement', 'value': '7'}, {'action_type': 'page_engagement', 'value': '7'}, {'action_type': 'post_reaction', 'value': '3'}, {'action_type': 'link_click', 'value': '4'}]",1243.863686,1121,7,177.694812,1109.601861,0.624442,2024-04-12,2024-06-15,55-64,male,7.0,7.0,,120208544107320764,,3.0,4.0,,,,,,,,,,,,,,
475,66d7e30cb3fdb1cfea445eaa,,5.577326,10,0,,557.73262,0,2024-04-12,2024-06-15,55-64,unknown,,,,120208544107320764,,,,,,,,,,,,,,,,,
