,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,video_view,cpm,cpc,ctr,cpl,ctl,campaign_id,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,landing_page_view,comment,like,post,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
71,66d7e314b3fdb1cfea446401,Commercial Plots I 40 Lakhs onwards,3727.745164,6257.0,146.0,34.0,49.0,9.0,49.0,12.0,,595.7719616429598,25.53250112328767,0.023333866070001597,414.1939071111111,16.22222222222222,120211099272390764,9.0,10.0,1.0,2.0,,,1.0,,,,,
72,66d7e314b3fdb1cfea446402,Commercial Plot near NH58 I 40 Lakhs onwards,748.89156,1361.0,32.0,5.0,9.0,1.0,9.0,4.0,,550.2509625275533,23.40286125,0.02351212343864805,748.89156,32.0,120211099272390764,1.0,2.0,,,,,,,,,,
73,66d7e314b3fdb1cfea446403,Starting 1.9 Cr I EOI 5 lakhs,27195.7,136304.0,1165.0,514.0,652.0,56.0,653.0,125.0,2.0,199.52239112571897,23.34394849785408,0.008547071252494425,485.6375,20.803571428571427,120211085617680764,56.0,49.0,6.0,6.0,1.0,3.0,2.0,,,,,
74,66d7e314b3fdb1cfea446404,Luxury Flats in Pune!,102.289786,215.0,0.0,0.0,0.0,0.0,0.0,0.0,,475.7664465116279,,0.0,,,120211080040380764,,,,,,,,,,,,
75,66d7e314b3fdb1cfea446405,2BHK I 74 Lakhs,848.065317,498.0,10.0,5.0,5.0,1.0,5.0,0.0,,1702.9424036144578,84.80653170000001,0.020080321285140562,848.065317,10.0,120211080040380764,1.0,1.0,,,,,,,,,,
76,66d7e314b3fdb1cfea446406,Luxury Flats in Pune!,250.484988,406.0,6.0,2.0,2.0,0.0,2.0,0.0,,616.9580985221675,41.747498,0.014778325123152709,,,120211080040380764,,,,,,,,,,,,
77,66d7e314b3fdb1cfea446407,2BHK I 74 Lakhs,836.366486,3490.0,31.0,17.0,25.0,0.0,25.0,6.0,1.0,239.64655759312322,26.97956406451613,0.008882521489971347,,,120211080040380764,,,,,,1.0,,,,,,
78,66d7e314b3fdb1cfea446408,Luxury Flats in Hinjewadi,337.256324,4724.0,31.0,24.0,33.0,0.0,33.0,8.0,,71.39210922946656,10.879236258064516,0.006562235393734124,,,120211080040380764,,,,,,1.0,,,,,,
79,66d7e314b3fdb1cfea446409,Luxury Flats in Hinjewadi,31.916813,63.0,3.0,1.0,1.0,0.0,1.0,0.0,,506.6160793650794,10.638937666666667,0.047619047619047616,,,120211080040380764,,,,,,,,,,,,
80,66d7e314b3fdb1cfea44640a,Inaugural Offer  I 3BHK at 2.3 Cr,1218.829568,2020.0,22.0,5.0,7.0,1.0,7.0,2.0,,603.3809742574258,55.401344,0.01089108910891089,1218.829568,22.0,120210969825640764,1.0,1.0,,,,,,,,,,
81,66d7e314b3fdb1cfea44640b,Accepting EOI I 3BHK Flats starting 2.3 Cr,1486.831309,2617.0,45.0,5.0,12.0,0.0,12.0,6.0,,568.1434119220481,33.040695755555554,0.01719526175009553,,,120210969825640764,,,,1.0,,,,,,,,
82,66d7e314b3fdb1cfea44640c,Live Luxury in Sector 93 Gurgaon!,83.925269,260.0,3.0,1.0,1.0,0.0,1.0,0.0,,322.78949615384613,27.975089666666666,0.011538461538461539,,,120210959310030764,,,,,,,,,,,,
83,66d7e314b3fdb1cfea44640d,Discover Prime 3BHK Flats Now!,859.151568,320.0,9.0,4.0,4.0,1.0,4.0,0.0,,2684.84865,95.46128533333334,0.028125,859.151568,9.0,120210959310030764,1.0,1.0,,,,,,,,,,
84,66d7e314b3fdb1cfea44640e,Accepting EOI I 3BHK Flats starting 2.3 Cr,137.12227,448.0,10.0,6.0,6.0,0.0,6.0,0.0,,306.0764955357143,13.712226999999999,0.022321428571428572,,,120210959310030764,,,,,,,,,,,,
85,66d7e314b3fdb1cfea44640f,Move In to KOHINOOR CENTRAL PARK 🏡,99.27153,279.0,5.0,0.0,2.0,0.0,2.0,2.0,,355.81193548387097,19.854306,0.017921146953405017,,,120210858209180764,,,,,,,,,,,,
86,66d7e314b3fdb1cfea446410,Get your dream home today,161.283746,249.0,4.0,0.0,1.0,0.0,1.0,1.0,,647.7258875502008,40.3209365,0.01606425702811245,,,120210858209180764,,,,,,,,,,,,
87,66d7e314b3fdb1cfea446411,Luxury Living at Strategic Location,293.375864,361.0,5.0,0.0,2.0,0.0,2.0,2.0,,812.6755235457064,58.6751728,0.013850415512465374,,,120210858209180764,,,,,,,,,,,,
88,66d7e314b3fdb1cfea446412,Luxury Living at Strategic Location,120.455455,317.0,10.0,3.0,5.0,0.0,5.0,2.0,,379.9856624605678,12.0455455,0.031545741324921134,,,120210858209180764,,,,,,,,,,,,
89,66d7e314b3fdb1cfea446413,Get your dream home today,136.570833,706.0,5.0,0.0,0.0,0.0,0.0,0.0,,193.44310623229458,27.3141666,0.007082152974504249,,,120210858209180764,,,,,,,,,,,,
90,66d7e314b3fdb1cfea446414,Move In to KOHINOOR CENTRAL PARK 🏡,1246.002663,12093.0,66.0,21.0,42.0,1.0,42.0,18.0,3.0,103.03503373852642,18.878828227272727,0.005457702803274621,1246.002663,66.0,120210858209180764,1.0,,,,,,,,,,,
91,66d7e314b3fdb1cfea446415,2BHK starting 84 lakhs @ Hinjewadi Pune,546.163367,5990.0,39.0,23.0,36.0,0.0,36.0,13.0,,91.17919315525876,14.004188897435897,0.00651085141903172,,,120210858209180764,,,,,,,,,,,,
